Nombre,Autor
100 mulheres que mudaram a Historia do Mundo,Gail Meyer Rolka
1000 Lugares para Conhecer Antes de Morrer,Patricia Schultz
Rich Dad Poor Dad,Robert T. Kiyosaki
Down and Out in Paris and London,George Orwell
Tales of Mystery and Imagination,Edgar Allan Poe
Pirate Adventures,Usborne Young Reading
Cosmos,Carl Sagan
The Dragons of Eden,Carl Sagan
It's Kind of a Funny Story,Ned Vizzini
Wherever Nina Lies,Lynn Weingarten
The Girl with all the Gifts,M. R. Carey
Pretty Little Liars,Sara Shepard
Can you keep a Secret?,Sophie Kinsella
This is not a test,Courney Summers
How to ruin a summer vacation,Simone Elkeles
Can true love survive high school,Natalie Standford
Two way street,Lauren Barnholdt
Beauty Queens,Libba Bray
Before i fall,Lauren Oliver
What happend to goodbye,Sarah Dessen
Along for the ride,Sarah Dessen
Flirting with boys,Hailey Abbot
Girls in love,Hailey Abbot
Summer Girls,Hailey Abbot
The other boy,Hailey Abbot
Forbiden Boy,Hailey Abbot
Dreamland,Sarah Dessen
Forbidden boy,Hailey Abbot
Boy Crazy,Hailey Abbot
Speed Dating,Natalie Standford
How to ruin your boyfriend's reputation,Simone Elkeles
How to ruin my teenage life,Simone Elkeles
Perceval oule Conte du Graal,Chrétien de Troyes
Montségur,Levis Mirepoix
Reinhold Conrad Muschler,Die Unbekannte
Sommerbuch,Helene Böhlau
Romantifches Deuschland,Schwarz - Bilbücheret
Freude Mit Kindern,
Das Katsel der Verbubng,Dr Paul Rammerer
Reufcheitslegende,Rudolf G. Binding
Das Persönliche Geburtstagsbuch - 4 Februar,
Wiem Worflich,Josef Weinheber
Sankt Georgs Stellvertrerter,Rudolf G. Binding
Afther the Fire,Belva Plain
The Ants' Party,Nick Beare / Jeanette Greenwell
Pride and Prejudice,Jane Austen
Sammy Keyes and the Hollywood Mummy,Wendelin Van Draanen
The Ghos and the Bone-Setter,Joseph Thomas / Sheridan Le Fanu
The Posthumous Papers of the Pickwick Club,Charles Dickens
